id	mpn	title	description	link	image_link	price	condition	availability
"SS-00276"	"SS-00276"	"Boordstof katoen muntgroen"	"Elastische boordstof van 95% katoen en 5% elasthan. Fijne rib. Stofbreedte 70cm."	"http://www.kokettekatinka.be/boordstof-katoen-muntgroen"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00276.jpg"	"14.95"	"new"	"in stock"
"SS-00277"	"SS-00277"	"Boordstof katoen lime"	"Elastische boordstof van 95% katoen en 5% elasthan. Fijne rib. Stofbreedte 70cm."	"http://www.kokettekatinka.be/boordstof-katoen-lime"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00277.jpg"	"14.95"	"new"	"in stock"
"SS-00278"	"SS-00278"	"Boordstof katoen zacht olijf"	"Elastische boordstof van 95% katoen en 5% elasthan. Fijne rib. Stofbreedte 70cm."	"http://www.kokettekatinka.be/boordstof-katoen-zacht-olijf"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00278.jpg"	"14.95"	"new"	"in stock"
"SR-00020"	"SR-00020"	"Blinde rits YKK lichtblauw 22cm"	"Blide rits YKK kleur 546. Lengte 22cm."	"http://www.kokettekatinka.be/blinde-rits-lichtblauw-22cm"	"http://www.kokettekatinka.be/media/catalog/product/s/r/sr-00020.jpg"	"2.45"	"new"	"in stock"
"SB-00049"	"SB-00049"	"Paspelband katoen lichtblauw"	"Paspelband van katoen. Ongeveer 3mm dik. Prijs per meter. Wil je bijvoorbeeld een halve meter, geef dan 0,5 in bij hoeveelheid."	"http://www.kokettekatinka.be/paspelband-katoen-lichtblauw"	"http://www.kokettekatinka.be/media/catalog/product/s/b/sb-00049.jpg"	"1.5"	"new"	"in stock"
"SB-00050"	"SB-00050"	"Paspelband katoen zalmroze"	"Paspelband van katoen. Ongeveer 3mm dik. Prijs per meter. Wil je bijvoorbeeld een halve meter, geef dan 0,5 in bij hoeveelheid."	"http://www.kokettekatinka.be/paspelband-katoen-zalmroze"	"http://www.kokettekatinka.be/media/catalog/product/s/b/sb-00050.jpg"	"1.5"	"new"	"in stock"
"JO-00076"	"JO-00076"	"Oorbellen Swirl Lime"	"Oorbellen met kralen van handgemaakt Tsjechisch glas. Oorhaken in nikkelvrij metaal."	"http://www.kokettekatinka.be/oorbellen-swirl-lime"	"http://www.kokettekatinka.be/media/catalog/product/j/o/jo-00076.jpg"	"20"	"new"	"in stock"
"JO-00077"	"JO-00077"	"Oorbellen Swirl zwart roze"	"Oorbellen met kralen van handgemaakt Tsjechisch glas. Oorhaken in sterling zilver."	"http://www.kokettekatinka.be/oorbellen-swirl-zwart-roze"	"http://www.kokettekatinka.be/media/catalog/product/j/o/jo-00077.jpg"	"25"	"new"	"in stock"
"JO-00078"	"JO-00078"	"Oorbellen Lilly"	"Oorbellen met kralen van Tsjechisch glas. Oorhaken en blaadjes in nikkelvrij metaal."	"http://www.kokettekatinka.be/oorbellen-ovaal-wit-met-blaadje"	"http://www.kokettekatinka.be/media/catalog/product/j/o/jo-00078.jpg"	"15"	"new"	"in stock"
"JO-00079"	"JO-00079"	"Oorbellen munt kristal"	"Oorbellen met kralen van geslepen kristalglas. Oorhaken in verzilverd (silver filled) metaal."	"http://www.kokettekatinka.be/oorbellen-munt-kristal"	"http://www.kokettekatinka.be/media/catalog/product/j/o/jo-00079.jpg"	"15"	"new"	"in stock"
"JO-00080"	"JO-00080"	"Oorbellen jade roze turkoois"	"Oorbellen met kralen van geslepen en roze gekleurde jade. Oorhaken in sterling zilver en blaadje in gelakt metaal."	"http://www.kokettekatinka.be/oorbellen-jade-roze-turkoois"	"http://www.kokettekatinka.be/media/catalog/product/j/o/jo-00080.jpg"	"25"	"new"	"in stock"
"JO-00081"	"JO-00081"	"Oorbellen Twins munt roze"	"Oorbellen met kralen van facetgeslepen Tsjechisch glas. Oorstekers en schakelketting in sterling zilver."	"http://www.kokettekatinka.be/oorbellen-twins-munt-roze"	"http://www.kokettekatinka.be/media/catalog/product/j/o/jo-00081_1.jpg"	"25"	"new"	"in stock"
"JH-00020"	"JH-00020"	"Halsketting Bugles blauw"	"Halsketting met Tsjechische kralen en buiskralen (bugles). Slotje van zilver."	"http://www.kokettekatinka.be/halsketting-bugles-blauw"	"http://www.kokettekatinka.be/media/catalog/product/d/s/dsc_0232-.jpg"	"20"	"new"	"in stock"
"SA-00027"	"SA-00027"	"Strijkapplicatie flamingo 7x10cm"	"Hippe strijkapplicatie van Chicken Rhythm met flamingo. 7 x10 cm."	"http://www.kokettekatinka.be/strijkapplicatie-flamingo-7x10cm"	"http://www.kokettekatinka.be/media/catalog/product/s/a/sa-00027.jpg"	"5.95"	"new"	"in stock"
"SA-00028"	"SA-00028"	"Strijkapplicatie kameleon 7x10cm"	"Hippe strijkapplicatie van Chicken Rhythm met kameleon. 7 x10 cm."	"http://www.kokettekatinka.be/strijkapplicatie-kameleon-7x10cm"	"http://www.kokettekatinka.be/media/catalog/product/s/a/sa-00028.jpg"	"5.95"	"new"	"in stock"
"SA-00029"	"SA-00029"	"Knielappen blauw set van 2"	"Opstrijkbare knielappen van Chicken Rhythm. 8 x11 cm. Set van twee stuks."	"http://www.kokettekatinka.be/knielappen-blauw-set-van-2"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00029_1.jpg"	"4.95"	"new"	"in stock"
"SP-00048"	"SP-00048"	"Lisette B6182 blouse, rok en jurk maat 32 tot 40"	"Drie-in-een patroon van Lisette: rok, blouse en jurk.  Inclusief naadtoeslag.  Omschrijving in het Engels en het Frans.  Moeilijkheidsgraad: gemakkelijk"	"http://www.kokettekatinka.be/lisette-b6182-blouse-rok-en-jurk-maat-32-tot-40"	"http://www.kokettekatinka.be/media/catalog/product/b/6/b6182_2__1.jpg"	"11.95"	"new"	"in stock"
"SP-00049"	"SP-00049"	"Lisette B6182 blouse, rok en jurk maat 40 tot 48"	"Drie-in-een patroon van Lisette: rok, blouse en jurk.  Inclusief naadtoeslag.  Omschrijving in het Engels en het Frans.  Moeilijkheidsgraad: gemakkelijk"	"http://www.kokettekatinka.be/lisette-b6182-blouse-rok-en-jurk-maat-40-tot-48"	"http://www.kokettekatinka.be/media/catalog/product/b/6/b6182_2_.jpg"	"11.95"	"new"	"in stock"
"SP-00050"	"SP-00050"	"Lisette B6168 jurk en tuniek maat 40 tot 48"	"Patroon van Lisette: jurk en tuniek  Inclusief naadtoeslag.  Omschrijving in het Engels en het Frans.  Moeilijkheidsgraad: gemiddeld"	"http://www.kokettekatinka.be/lisette-b6168-jurk-en-tuniek-maat-40-tot-48"	"http://www.kokettekatinka.be/media/catalog/product/b/6/b6168_1.jpg"	"11.95"	"new"	"in stock"
"SP-00051"	"SP-00051"	"Lisette B6168 jurk en tuniek maat 32 tot 40"	"Patroon van Lisette: jurk en tuniek  Inclusief naadtoeslag.  Omschrijving in het Engels en het Frans.  Moeilijkheidsgraad: gemiddeld"	"http://www.kokettekatinka.be/lisette-b6168-jurk-en-tuniek-maat-32-tot-40"	"http://www.kokettekatinka.be/media/catalog/product/b/6/b6168.jpg"	"11.95"	"new"	"in stock"
